name,log2FC,Pval,FDR,comparison,cell_type,label,diffaccessible,dalabel
LEF1-AS1,-0.0826825566537146,0.436365129410242,0.782133764196812,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
COL25A1,-0.0473560610884801,0.0982554043674669,0.423797978019215,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
ELOVL6,0.0461563335533612,0.354665326618704,0.730214796414873,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
ANK2,-0.0285193420528077,0.0677575166926718,0.350563738385593,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
CAMK2D,0.0339556995789543,0.399371531768256,0.758108450585147,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
MAD2L1,0.0317059870782412,0.45841197402339,0.792833589536303,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
PRDM5,-0.0634330539317849,0.0119241497761229,0.141785371892068,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
ANXA5,-0.0750975304525253,0.0341225295870026,0.247403923516414,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
FGF2,-0.0669564017463087,0.0675564997493765,0.350563738385593,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
SPATA5,0.0305657957055193,0.428943924427143,0.775947764882676,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
SPRY1,-0.0345998158572112,0.440567856382457,0.783349028905224,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
LINC01091,-0.0224325908611735,0.537436157199181,0.841320526281855,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
LARP1B,0.0106657206357413,0.932893092626286,0.983831081241235,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
PGRMC2,0.00213572411491274,0.858707498198179,0.966686365189889,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
LINC02615,0.00479662744296087,0.836624879697205,0.95811369640083,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
JADE1,-0.0133487331758349,0.57136155358164,0.857602655297267,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
LOC101927359,0.00115795663399491,0.587884918412114,0.865603697979664,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
PCDH10,0.00151046348419858,0.529282857687463,0.837399837467043,Invasive-high_OPC_NPC1_vs_All,Invasive-high_OPC_NPC1_vs_All,adj_p>=0.05 or log2FC<0.1,Not significant,
