"","hgnc_symbol","gene_biotype"
"487","STK35","protein_coding"
"488","ABHD13","protein_coding"
"489","ESD","protein_coding"
"490","SCRT2","protein_coding"
"491","NCOA6","protein_coding"
"492","RIPPLY3","protein_coding"
"493","RRP1B","protein_coding"
"494","HTR2A","protein_coding"
"495","TDRD3","protein_coding"
"496","PDXK","protein_coding"
"497","SPART","protein_coding"
"498","LRTM2","protein_coding"
"499","DEFB127","protein_coding"
"500","SPTLC3","protein_coding"
"501","NXNL2","protein_coding"
"502","DCP1B","protein_coding"
"503","DEFB115","protein_coding"
"504","CD226","protein_coding"
"505","SLC23A2","protein_coding"
"506","STK24","protein_coding"
"507","PIGN","protein_coding"
"508","CST9L","protein_coding"
"509","CACNA1C","protein_coding"
"510","RCBTB2","protein_coding"
"511","TASP1","protein_coding"
"512","WFDC9","protein_coding"
"513","RRP1","protein_coding"
"514","MTCL2","protein_coding"
"515","WFDC10A","protein_coding"
"516","PPP1R16B","protein_coding"
"517","SLITRK1","protein_coding"
"518","IFT88","protein_coding"
"519","TMTC4","protein_coding"
"520","DHX35","protein_coding"
"521","AGPAT3","protein_coding"
"522","EPSTI1","protein_coding"
"523","TOX2","protein_coding"
"524","TNFRSF19","protein_coding"
"525","TRAPPC10","protein_coding"
"526","EYA2","protein_coding"
"527","RAB20","protein_coding"
"528","CARS2","protein_coding"
"529","PWP2","protein_coding"
"530","WFDC11","protein_coding"
"531","DYRK1A","protein_coding"
"532","RIPOR3","protein_coding"
"533","KBTBD6","protein_coding"
"534","KBTBD7","protein_coding"
"535","MTRF1","protein_coding"
"536","FAM83D","protein_coding"
"537","SLC2A10","protein_coding"
"538","KCNB1","protein_coding"
"539","NAA16","protein_coding"
"540","TINF2","protein_coding"
"541","CDH22","protein_coding"
"542","NCOA3","protein_coding"
"543","RGCC","protein_coding"
"544","TGM1","protein_coding"
"545","VWA8","protein_coding"
"546","RABGGTA","protein_coding"
"547","ELP5","protein_coding"
"548","RAP2A","protein_coding"
"549","LPAR6","protein_coding"
"550","PRDM15","protein_coding"
"551","MC3R","protein_coding"
"552","NAXD","protein_coding"
"553","PREX1","protein_coding"
"554","MOCOS","protein_coding"
"555","GJA3","protein_coding"
"556","GJB2","protein_coding"
"557","NETO1","protein_coding"
"558","GJB6","protein_coding"
"559","CNDP2","protein_coding"
"560","ZMYM2","protein_coding"
"561","CLDN7","protein_coding"
"562","PTGIS","protein_coding"
"563","SLC2A4","protein_coding"
"564","CBLN4","protein_coding"
"565","ATP9A","protein_coding"
"566","DHRS1","protein_coding"
"567","YBX2","protein_coding"
"568","RALY","protein_coding"
"569","NOP9","protein_coding"
"570","EIF5A","protein_coding"
"571","EEF1AKMT1","protein_coding"
"572","CNDP1","protein_coding"
